{MCI,35,27,4,4,92,31,61,85},
{ARS,36,25,6,5,83,42,41,81},
{NEW,36,19,12,5,67,32,35,69},
{MUN,35,20,6,9,51,41,10,66},
{LIV,36,19,8,9,70,42,28,65},
{BHA,35,17,7,11,67,49,18,58},
{TOT,36,17,6,13,65,59,6,57},
{AVL,36,17,6,13,48,44,4,57},
{BRE,36,13,14,9,54,45,9,53},
{FUL,36,15,6,15,52,49,3,51},
{CHE,35,11,10,14,36,41,-5,43},
{CRY,36,11,10,15,37,46,-9,43},
{WOL,36,11,7,18,30,52,-22,40},
{BOU,36,11,6,19,37,69,-32,39},
{WHU,36,10,7,19,38,52,-14,37},
{NFO,36,8,10,18,36,67,-31,34},
{EVE,36,7,11,18,32,56,-24,32},
{LEE,36,7,10,19,46,71,-25,31},
{LEI,36,8,6,22,49,67,-18,30},
{SOU,36,6,6,24,31,66,-35,24},
